Designator,Mid X,Mid Y,Rotation,Layer
C1,82.7625,-111.4125,0.0,bottom
C10,232.6,-107.6625,180.0,bottom
C11,63.376461,-98.970112,135.0,top
C12,64.437121,-91.545491,225.0,top
C13,82.7625,-114.4125,0.0,bottom
C14,228.55,-113.6625,0.0,bottom
C15,224.825,-112.6375,90.0,bottom
C16,223.325,-106.6625,90.0,bottom
C17,52.5125,-44.4375,90.0,bottom
C18,221.325,-106.6625,90.0,bottom
C19,232.575,-105.6625,180.0,bottom
C2,83.2625,-107.9125,270.0,bottom
C20,228.575,-115.6625,0.0,bottom
C21,239.737744,-99.301629,135.0,top
C22,240.798405,-91.877008,225.0,top
C23,62.315801,-100.030772,315.0,top
C24,238.500307,-100.539066,315.0,top
C25,256.325,-44.1625,90.0,bottom
C26,256.325,-40.6625,270.0,bottom
C3,79.0125,-106.6625,180.0,bottom
C4,78.7625,-110.9125,90.0,bottom
C5,52.5125,-40.6375,270.0,bottom
C6,79.0125,-104.6625,180.0,bottom
C7,85.2625,-107.9125,270.0,bottom
C8,81.0125,-108.6625,180.0,bottom
C9,225.55,-110.4125,0.0,bottom
D1,136.0125,-32.6625,270.0,top
D2,133.2625,-32.6625,270.0,top
D3,130.5125,-32.7,270.0,top
D4,176.325,-32.6625,270.0,top
D5,179.325,-32.6625,270.0,top
D6,173.325,-32.6625,270.0,top
D7,61.962247,-103.212753,135.0,top
D8,244.510715,-105.488813,225.0,top
F1,66.558441,-105.334073,315.0,top
F2,246.632035,-100.539066,45.0,top
J1,68.12657683632074,-121.10657683632074,45.0,top
J2,50.2625,-96.9125,135.0,top
J3,57.0125,-108.1625,315.0,top
J4,259.075,-96.6625,225.0,top
J5,249.637239,-110.615337,45.0,top
J6,240.26907683632075,-122.96842316367926,135.0,top
R1,83.0125,-120.6625,0.0,top
R10,236.575,-110.9125,0.0,top
R11,136.0125,-38.6625,90.0,bottom
R12,136.0125,-35.6625,90.0,bottom
R13,133.2625,-38.6625,90.0,bottom
R14,133.2625,-35.6625,90.0,bottom
R15,130.5125,-38.6625,90.0,bottom
R16,130.5125,-35.6625,90.0,bottom
R17,176.325,-38.6625,90.0,bottom
R18,179.325,-38.6625,90.0,bottom
R19,173.325,-38.6625,90.0,bottom
R2,247.515919,-103.897823,225.0,top
R20,176.325,-35.6625,90.0,bottom
R21,179.325,-35.6625,90.0,bottom
R22,173.325,-35.6625,90.0,bottom
R3,63.553238,-106.217957,135.0,top
R4,58.957044,-101.621763,315.0,top
R5,242.919725,-108.494017,45.0,top
R6,227.575,-94.9125,180.0,top
R7,69.5125,-103.6625,135.0,top
R8,70.7625,-102.4125,135.0,top
R9,236.575,-109.4125,0.0,top
SW1,83.7625,-118.1625,90.0,top
SW10,104.5375,-42.5375,0.0,bottom
SW11,104.5375,-61.5875,0.0,bottom
SW12,104.5375,-80.6375,0.0,bottom
SW13,123.5875,-42.5375,0.0,bottom
SW14,123.5875,-61.5875,0.0,bottom
SW15,123.5875,-80.6375,0.0,bottom
SW16,142.6375,-42.5375,0.0,bottom
SW17,142.6375,-61.5875,0.0,bottom
SW18,142.6375,-80.6375,0.0,bottom
SW19,104.5375,-99.6875,0.0,bottom
SW2,47.6375,-42.5375,90.0,top
SW20,123.5875,-99.6875,0.0,bottom
SW21,142.6375,-99.6875,0.0,bottom
SW22,104.5375,-118.7375,0.0,bottom
SW23,123.5875,-118.7375,0.0,bottom
SW24,142.6375,-118.7375,0.0,bottom
SW26,261.7,-61.5875,0.0,bottom
SW27,223.6,-42.5375,0.0,bottom
SW28,223.6,-61.5875,0.0,bottom
SW29,223.6,-80.6375,0.0,bottom
SW3,47.3875,-61.5875,0.0,bottom
SW30,242.65,-42.5375,0.0,bottom
SW31,242.65,-61.5875,0.0,bottom
SW32,242.65,-80.6375,0.0,bottom
SW33,166.45,-42.5375,0.0,bottom
SW34,166.45,-61.5875,0.0,bottom
SW35,166.45,-80.6375,0.0,bottom
SW36,166.45,-99.6875,0.0,bottom
SW37,166.45,-118.7375,0.0,bottom
SW38,261.45,-42.5375,270.0,top
SW39,185.5,-42.5375,0.0,bottom
SW4,66.4375,-61.5875,0.0,bottom
SW40,185.5,-61.5875,0.0,bottom
SW41,185.5,-80.6375,0.0,bottom
SW42,185.5,-99.6875,0.0,bottom
SW43,185.5,-118.7375,0.0,bottom
SW44,204.55,-42.5375,0.0,bottom
SW45,204.55,-61.5875,0.0,bottom
SW46,204.55,-80.6375,0.0,bottom
SW47,204.55,-99.6875,0.0,bottom
SW48,204.55,-118.7375,0.0,bottom
SW49,47.3875,-80.6375,0.0,bottom
SW5,66.4375,-42.5375,0.0,bottom
SW50,261.7,-80.6375,0.0,bottom
SW51,228.325,-92.4125,90.0,top
SW6,66.4375,-80.6375,0.0,bottom
SW7,85.4875,-42.5375,0.0,bottom
SW8,85.4875,-61.5875,0.0,bottom
SW9,85.4875,-80.6375,0.0,bottom
U2,67.088772,-95.257801,225.0,top
U4,81.0125,-108.9125,90.0,top
U5,227.325,-111.6625,270.0,top
U6,243.450055,-95.589318,225.0,top
